Attained_Age,Policies_Exposed,Amount_Exposed,Death_Count,Death_Claim_Amount,Exp_Count,Exp_Amount,qx_Crude_Count,qx_Crude_Amount,AE_Count,AE_Amount,AE_Count_CI_Lo,AE_Count_CI_Hi,Credibility_Count,AE_Amount_CI_Lo,AE_Amount_CI_Hi,Credibility_Amount
1,171625.39428453753,17367975275.9157,26,3601474,22.772794321133343,2371406.0613854923,0.00015149273281140805,0.00020736291610192414,1.1417132053869992,1.518708271284354,0.7028608422479536,1.5805655685260447,0.1550147569148429,1.5171397792865562,1.5202767632821519,1.0
2,278713.51720856363,27678812942.40487,27,1212269,27.92594958701617,2833643.0864365837,9.687366536943264e-05,4.379772364235907e-05,0.9668426821393863,0.42781287657665995,0.6021542200710956,1.331531144207677,0.1579676842873654,0.42705131952590053,0.42857443362741937,1.0
3,361883.0452235511,35230132520.30408,36,2181979,30.798916512651996,2988323.692701578,9.947965364821448e-05,6.193502107159167e-05,1.168872287608281,0.7301682228498458,0.787047689901752,1.5506968853148102,0.18240537009314448,0.7291993969594132,0.7311370487402785,1.0
4,430202.20828448795,41116581185.11184,31,2086410,33.39186829550133,3130186.1220461144,7.205913731502755e-05,5.074376175895386e-05,0.9283697373763428,0.6665450291614521,0.6015650935336792,1.2551743812190064,0.1692650198655718,0.6656405933351411,0.667449464987763,1.0
5,488808.9728897095,45893050637.50316,36,2506529,39.15625477070696,3669017.719484501,7.364840253888448e-05,5.4616744042543546e-05,0.9193933436895458,0.6831607780711859,0.6190637034799849,1.2197229838991068,0.18240537009314448,0.6823150423997003,0.6840065137426715,1.0
6,540937.6050315334,49793578800.93109,38,3218788,41.92085785399609,3916883.6852761987,7.024839768310216e-05,6.464263219296484e-05,0.9064699995488681,0.8217726791580812,0.6182595465640215,1.1946804525337147,0.1874037029364864,0.8208749329017682,0.8226704254143942,1.0
7,586810.5247019127,53175034582.54673,30,1863740,44.049035573164254,3987504.226439382,5.112382743175809e-05,3.504915445060608e-05,0.68105917892733,0.46739511588285276,0.43734976003501114,0.9247685978196489,0.16651255968348905,0.46672408949687283,0.4680661422688327,1.0
8,627811.3805531559,55855629729.71286,37,2099268,47.125623916908786,4189007.943190485,5.893489851585649e-05,3.7583821186126154e-05,0.7851354937016402,0.5011372688878525,0.5321522014928213,1.038118785910459,0.18492142508795978,0.5004593607458946,0.5018151770298104,1.0
9,666083.8493800545,58406920393.04055,46,3469463,50.00026568319702,4381085.846741278,6.906037437000412e-05,5.9401573934266224e-05,0.9199951114551509,0.7919185154932863,0.6541340741875242,1.1858561487227774,0.20618890177763247,0.7910852230220976,0.792751807964475,1.0
10,699203.3820979898,60129920564.75271,58,2780196,54.269609822637655,4601771.3007418625,8.295154383545529e-05,4.623648216874098e-05,1.068738105719829,0.6041577945326831,0.7936920707344143,1.3437841407052438,0.2315263186534204,0.6034476270761677,0.6048679619891986,1.0
11,727428.6913187185,61338014989.586655,53,2896522,60.09184703098525,5005932.647742139,7.285937526593706e-05,4.72222976320923e-05,0.8819832076832574,0.5786178528203807,0.6445341377765481,1.1194322775899668,0.22132185644549568,0.5779515041973033,0.579284201443458,1.0
12,752214.7022676552,62132188594.30475,82,4242127,68.05072252125092,5499500.449277688,0.00010901142951978959,6.82758340881758e-05,1.204983532311402,0.7713658793422168,0.9441747109010756,1.4657923537217283,0.2752918129096526,0.7706318444876206,0.772099914196813,1.0
13,778276.0391882381,63011688917.564415,95,4722495,84.65299547550634,6557740.941163584,0.00012206465985910017,7.494633267453352e-05,1.1222284511773417,0.720140524362046,0.8965617069205287,1.3478951954341547,0.2963112716144411,0.7194910237147515,0.7207900250093405,1.0
14,806360.0767099918,63904954775.79891,130,8201838,130.81730549661086,9906837.272488266,0.00016121829906362619,0.00012834432054251404,0.993752313629239,0.8278967115748307,0.8229260792278699,1.1645785480306081,0.3466235339771943,0.8273301219011211,0.8284633012485403,1.0
15,834919.3926690652,64673126325.86229,188,11082516,207.23800662968176,15459969.900588464,0.00022517143768693975,0.0001713619957717768,0.9071695055238657,0.7168523659013177,0.7774941016174484,1.036844909430283,0.4168360715389737,0.7164303210267324,0.717274410775903,1.0
16,873291.8423257978,66075156071.42861,261,13600543,302.5603746674523,22365143.682237953,0.00029886916074343576,0.00020583444381572905,0.8626377472161323,0.6081133746885489,0.7579836356088502,0.9672918588234144,0.4911414898289731,0.6077901872129222,0.6084365621641755,1.0
17,910102.1998720774,67042976960.00331,380,18620557,403.1150959702901,29229903.535546232,0.0004175355251898218,0.00027774060527038807,0.9426588182845087,0.6370379217076684,0.8478801008834012,1.0374375356856163,0.5926225432288822,0.6367485760008363,0.6373272674145004,1.0
