Sex_Clean,Attained_Age_Group,Policies_Exposed,Amount_Exposed,Death_Count,Death_Claim_Amount,Exp_Count,Exp_Amount,qx_Crude_Count,qx_Crude_Amount,AE_Count,AE_Amount,AE_Count_CI_Lo,AE_Count_CI_Hi,Credibility_Count,AE_Amount_CI_Lo,AE_Amount_CI_Hi,Credibility_Amount
F,0–4,616044.683838109,61522719442.3333,43,3343318,49.23931339085748,4977139.142941968,6.980013159451273e-05,5.43428188855301e-05,0.8732859383856484,0.6717348870467338,0.6122680148324382,1.1343038619388586,0.1993520001480583,0.6710148461699776,0.6724549279234899,1.0
F,5–9,1437414.5881308224,131797126487.95326,99,5302298,101.93920492100442,9409080.327965964,6.887365748022433e-05,4.0230755717459815e-05,0.9711670801897848,0.5635298897640765,0.7798629059704543,1.1624712544091154,0.30248508617243725,0.5630502303407986,0.5640095491873544,1.0
F,10–14,1858936.240115968,154067371665.57626,169,10718009,150.3015439053266,12060850.773171049,9.091220901124456e-05,6.956702697093363e-05,1.124406280925839,0.8886611070457687,0.9548835259562028,1.2939290358954754,0.395211635201813,0.8881290879684279,0.8891931261231095,1.0
F,15–19,2129964.3565627052,154848083819.96716,549,29047162,515.92147749103,36848840.08845894,0.00025775079207708687,0.00018758489794275685,1.064115420567164,0.7882788693014403,0.9751029909074073,1.1531278502269204,0.7123157413268075,0.7879922033436659,0.7885655352592147,1.0
F,20–24,1925090.0346085783,119069725729.35713,731,36376967,605.0730382394725,37181800.85769377,0.0003797224996537015,0.00030550979081520724,1.2081186134601636,0.9783540915413399,1.120539815906418,1.2956974110139092,0.8219493532885918,0.9780361619779976,0.9786720211046822,1.0
F,25–29,1843965.213609377,102058616623.4317,966,44197531,659.371461249908,36420849.65795646,0.0005238710540038616,0.000433060259508286,1.4650315592501462,1.213522787498854,1.3726454860725026,1.5574176324277897,0.9448762498558155,1.213165023181834,1.2138805518158737,1.0
F,30–34,1771482.9382723789,83101568819.40742,1283,51116436,841.4625014348511,39068048.69704072,0.0007242519655601273,0.00061510795435263,1.5247262923924059,1.3083949084939046,1.441295445477522,1.6081571393072898,1.0,1.3080362289130762,1.308753588074733,1.0
F,35–39,1626679.1056223055,59545729260.43323,1702,50134150,1260.2978685824994,45480767.37519755,0.0010463034744328872,0.0008419436729161531,1.3504743937354255,1.102315393810618,1.286315824988809,1.4146329624820422,1.0,1.102010262246434,1.102620525374802,1.0
F,40–44,1454069.1042860385,38427549441.13748,2135,45418108,1525.702003671041,39999680.09336481,0.0014682933525695843,0.0011819152837099463,1.3993558341425176,1.135461781043944,1.3399981000250922,1.458713568259943,1.0,1.1351315589762725,1.1357920031116155,1.0
F,45–49,1290652.6513195706,21631221024.030525,2684,37159334,1791.0597918468707,29411406.01571246,0.002079568036571159,0.0017178565166857205,1.4985541031169956,1.263432764151036,1.441861126166922,1.555247080067069,1.0,1.2630265395083715,1.2638389887937003,1.0
F,50–54,1163633.0836495627,11911635800.288548,3529,30703203,2421.401000463993,24370549.63568692,0.0030327429235097155,0.0025775807382606717,1.457420724334287,1.2598486065755319,1.4093359920205797,1.5055054566479942,1.0,1.2594029763816592,1.2602942367694046,1.0
F,55–59,1051847.1155877768,8040556003.080747,4224,31322327,3398.7693620686373,25661777.52027283,0.004015792730143687,0.0038955424211956015,1.2428027765405922,1.2205829068253489,1.2053237457836117,1.2802818072975728,1.0,1.2201554538295554,1.2210103598211424,1.0
F,60–64,900304.775540641,5395306600.8639345,4938,27987397,4776.663807267308,28334190.306481544,0.0054848092936469065,0.0051873598796996,1.0337759154176251,0.9877606064358856,1.0049423095224226,1.0626095213128277,1.0,0.9873946591431189,0.9881265537286523,1.0
