Attained_Age,qx_Juvenile,qx_Adult,weight_Adult,qx_Blended,source
1.0,4.133353643759699e-05,,0.0,,Juvenile
2.0,5.275763053582207e-05,,0.0,,Juvenile
3.0,5.994848591166598e-05,,0.0,,Juvenile
4.0,6.257503279878026e-05,,0.0,,Juvenile
5.0,6.191182341267706e-05,,0.0,,Juvenile
6.0,5.991222621483542e-05,,0.0,,Juvenile
7.0,5.851219424076894e-05,,0.0,,Juvenile
8.0,5.950947082507996e-05,,0.0,,Juvenile
9.0,6.502735463848774e-05,,0.0,,Juvenile
10.0,7.749907900772885e-05,,0.0,,Juvenile
11.0,9.90905524223579e-05,,0.0,,Juvenile
12.0,0.00013322226011355757,,0.0,,Juvenile
13.0,0.00018458812994250374,,0.0,,Juvenile
14.0,0.0002583370844002793,,0.0,,Juvenile
15.0,0.0003579310169713815,,0.0,,Juvenile
16.0,0.0004811883425817486,,0.0,,Juvenile
17.0,0.0006155515106771596,,0.0,,Juvenile
18.0,0.0007448749625671172,,0.0,,Juvenile
19.0,0.0008592388883770418,,0.0,,Juvenile
20.0,0.0009526968293290011,,0.0,,Juvenile
21.0,0.0010237748037293722,,0.0,,Juvenile
22.0,0.0010751319053785178,,0.0,,Juvenile
23.0,0.001112564847641755,,0.0,,Juvenile
24.0,0.0011439152845831193,,0.0,,Juvenile
25.0,0.0011775846124184406,,0.0,,Blended
26.0,0.0012163569601800147,,0.2,,Blended
27.0,0.0012598363459291897,,0.4,,Blended
28.0,0.001307539289865701,,0.6,,Blended
29.0,0.0013588960815181935,,0.8,,Blended
30.0,0.0014132272021277381,,1.0,,Blended
31.0,0.0014697224649026076,,1.0,,Adult
32.0,0.0015274240974974154,,1.0,,Adult
33.0,0.001585513441241284,,1.0,,Adult
34.0,0.001644287985777204,,1.0,,Adult
35.0,0.0017044208937023312,,1.0,,Adult
36.0,0.0017666892668679061,,1.0,,Adult
37.0,0.0018319819579238423,,1.0,,Adult
38.0,0.0019013114316794716,,1.0,,Adult
39.0,0.0019758306454211254,,1.0,,Adult
40.0,0.0020568554609139422,,1.0,,Adult
41.0,0.0021458143367927007,,1.0,,Adult
42.0,0.002244189347405594,,1.0,,Adult
43.0,0.0023536768118417694,,1.0,,Adult
44.0,0.002476253668876132,,1.0,,Adult
45.0,0.0026142396614356462,,1.0,,Adult
46.0,0.0027703754059542397,,1.0,,Adult
47.0,0.002947920699390951,,1.0,,Adult
48.0,0.0031506757482549397,,1.0,,Adult
49.0,0.003380667807468787,,1.0,,Adult
50.0,0.0036373545781989867,,1.0,,Adult
51.0,0.003919335216301581,,1.0,,Adult
52.0,0.004224176790414681,,1.0,,Adult
53.0,0.004548141252005231,,1.0,,Adult
54.0,0.004885930222750986,,1.0,,Adult
55.0,0.005230477172622373,,1.0,,Adult
56.0,0.005573391335300376,,1.0,,Adult
57.0,0.005909759256425401,,1.0,,Adult
58.0,0.006237030124454919,,1.0,,Adult
59.0,0.0065528632732911015,,1.0,,Adult
60.0,0.00685515053024471,,1.0,,Adult
61.0,0.007142050583204595,,1.0,,Adult
62.0,0.00741201511492987,,1.0,,Adult
63.0,0.007663806508727939,,1.0,,Adult
64.0,0.007896554025647847,,1.0,,Adult
65.0,0.00810990574687077,,1.0,,Adult
66.0,0.008303897172758918,,1.0,,Adult
67.0,0.008478888458220793,,1.0,,Adult
68.0,0.008635540567915158,,1.0,,Adult
69.0,0.008774787873509328,,1.0,,Adult
70.0,0.008897808584983234,,1.0,,Adult
71.0,0.00900603259547637,,1.0,,Adult
72.0,0.009105754563939172,,1.0,,Adult
73.0,0.00921280506629573,,1.0,,Adult
74.0,0.009344857948433314,,1.0,,Adult
75.0,0.009520719502308036,,1.0,,Adult
76.0,0.009761002964331288,,1.0,,Adult
77.0,0.010089231597257806,,1.0,,Adult
78.0,0.010533484833387046,,1.0,,Adult
79.0,0.011127265534167975,,1.0,,Adult
80.0,0.011876685425949642,,1.0,,Adult
81.0,0.012750184807558643,,1.0,,Adult
82.0,0.01370303682754973,,1.0,,Adult
83.0,0.014674421318433035,,1.0,,Adult
84.0,0.015585245640249556,,1.0,,Adult
85.0,0.016339528588203492,,1.0,,Adult
86.0,0.016830743115817136,,1.0,,Adult
87.0,0.016957507534236294,,1.0,,Adult
88.0,0.016667738815040082,,1.0,,Adult
89.0,0.0159559332642728,,1.0,,Adult
90.0,0.014851726078634086,,1.0,,Adult
91.0,0.013418970005883643,,1.0,,Adult
92.0,0.011749714210775137,,1.0,,Adult
93.0,0.009953587342710032,,1.0,,Adult
94.0,0.008144313915489417,0.008144313915489417,1.0,0.008144313915489417,Adult
95.0,,0.00886685355634259,1.0,,Adult
96.0,,0.009653494794705567,1.0,,Adult
97.0,,0.010509924536280106,1.0,,Adult
98.0,,0.011442334212360405,1.0,,Adult
99.0,,0.012457464539863752,1.0,,Adult
100.0,,0.013562654252339783,1.0,,Adult
101.0,,0.014765893154251931,1.0,,Adult
102.0,,0.01607587988207913,1.0,,Adult
103.0,,0.017502084789812987,1.0,,Adult
104.0,,0.01905481841347186,1.0,,Adult
105.0,,0.020745306009585716,1.0,,Adult
106.0,,0.02258576870651682,1.0,,Adult
107.0,,0.02458951185528748,1.0,,Adult
108.0,,0.02677102121863409,1.0,,Adult
109.0,,0.029146067693671895,1.0,,Adult
110.0,,0.03173182132524743,1.0,,Adult
111.0,,0.034546975434221076,1.0,,Adult
112.0,,0.037611881758046806,1.0,,Adult
113.0,,0.04094869758062773,1.0,,Adult
