Attained_Age_Band,0-1,2-5,6-10,11-15,16-20,21-26+
"[0, 5)",1.0956169382931766,1.1272585863922082,,,,
"[5, 10)",0.6054480824905176,0.9013537929454767,1.1115478785712722,,,
"[10, 15)",0.8847019166557553,0.9525663135152709,1.1991428210558621,1.1278477004846097,,
"[15, 20)",0.8805651179807191,0.9322505550944605,1.0256016107086428,0.9580110129920334,1.019058294307991,
"[20, 25)",,0.9366491195138174,1.3115213886036499,1.294378400861039,1.293782575552213,1.2471421068926334
"[25, 30)",,,1.315161720245455,1.566450783918687,1.6202622433440315,1.5096652228688048
"[30, 35)",,,,1.706506849804907,1.5908607271570234,1.6312095298540459
"[35, 40)",,,,,1.3861390122280617,1.3665347766917948
"[40, 45)",,,,,,1.2493484634383254
"[45, 50)",,,,,,1.4804081125935236
"[50, 55)",,,,,,1.5824457521621385
"[55, 60)",,,,,,1.4187953617203595
"[60, 65)",,,,,,1.1603374981442591
"[65, 70)",,,,,,0.992177008324148
"[70, 75)",,,,,,0.8981188153575895
"[75, 80)",,,,,,0.878913939967425
"[80, 85)",,,,,,0.9170562613289015
"[85, 90)",,,,,,0.8934133887256666
"[90, 95)",,,,,,0.8453066768973329
"[95, 100)",,,,,,
