Attained_Age_Band,0-1,2-5,6-10,11-15,16-20,21-26+
"[0, 5)",51.11275487146123,183.63133579004585,0.0,0.0,0.0,0.0
"[5, 10)",31.381716367559186,118.71032311334876,175.43103968732612,0.0,0.0,0.0
"[10, 15)",33.909726468551604,113.37793334455199,146.77150787178923,256.24027062858175,0.0,0.0
"[15, 20)",71.54496437977168,387.23495312204085,421.21618715234683,519.827009550402,1053.9141931319227,0.0
"[20, 25)",0.0,85.41085272308298,502.4698840036638,531.5292649679047,726.5517543384666,1414.4338405790536
"[25, 30)",0.0,0.0,72.23446252850918,477.5126085536997,517.200226964782,2102.4528828772204
"[30, 35)",0.0,0.0,0.0,78.52297810308777,529.9018233396826,2995.9363960050364
"[35, 40)",0.0,0.0,0.0,0.0,97.39282915282989,5156.107345513344
"[40, 45)",0.0,0.0,0.0,0.0,0.0,6702.693639974517
"[45, 50)",0.0,0.0,0.0,0.0,0.0,8004.549488208365
"[50, 55)",0.0,0.0,0.0,0.0,0.0,10800.37023490259
"[55, 60)",0.0,0.0,0.0,0.0,0.0,16639.467985978
"[60, 65)",0.0,0.0,0.0,0.0,0.0,25065.98299763299
"[65, 70)",0.0,0.0,0.0,0.0,0.0,31548.80604708945
"[70, 75)",0.0,0.0,0.0,0.0,0.0,36010.825568911954
"[75, 80)",0.0,0.0,0.0,0.0,0.0,36906.91263948123
"[80, 85)",0.0,0.0,0.0,0.0,0.0,43863.17579001114
"[85, 90)",0.0,0.0,0.0,0.0,0.0,53689.59163284808
"[90, 95)",0.0,0.0,0.0,0.0,0.0,39776.09655635513
"[95, 100)",0.0,0.0,0.0,0.0,0.0,0.0
