Feature,Importance,Rank
Attained_Age_mod,0.37257398878000975,1
Face_Amount_Band,0.12941024473766857,2
Insurance_Plan,0.1263347443327834,3
Duration,0.113478320096077,4
Issue_Age_mod,0.08235438590878061,5
Age_Ind,0.06419550728182247,6
Observation_Year,0.03435680516661797,7
Sex,0.025255185328861965,8
Face_Band_Group,0.023634138071335097,9
Slct_Ult_Ind,0.013142041420265208,10
SOA_Post_Lvl_Ind,0.006555301520734554,11
Number_of_Pfd_Classes,0.0031287431521717993,12
Preferred_Indicator,0.0030896991792541354,13
SOA_Antp_Lvl_TP,0.0012472141832169672,14
SOA_Guar_Lvl_TP,0.001243680840400513,15
Insurance_Plan_Group,0.0009157075669218444,16
