Feature,Importance,Rank
Duration,0.4724759688860503,1
Observation_Year,0.21124274296504655,2
Attained_Age,0.11667559584108708,3
SOA_Post_Lvl_Ind,0.06739187613403826,4
Issue_Age,0.0424050268441284,5
Face_Amount_Band,0.03461978605838723,6
Sex,0.028001109027268888,7
Age_Ind,0.020740852554935588,8
Insurance_Plan,0.0037971447503071217,9
Insurance_Plan_Group,0.002489436268495814,10
Face_Band_Group,0.0015519238227640246,11
SOA_Guar_Lvl_TP,0.0007243595171014483,12
SOA_Antp_Lvl_TP,0.0002680604542029814,13
Preferred_Indicator,7.837029716132713e-05,14
Number_of_Pfd_Classes,2.7182847520882544e-05,15
Slct_Ult_Ind,0.0,16
