Feature,Levels_or_Unique,Base_Deviance,Model_Deviance,Deviance_Reduction,Deviance_Reduction_%,AIC,Weighted_AE_Error,Note
Sex,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Insurance_Plan,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Face_Amount_Band,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Slct_Ult_Ind,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Age_Ind,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Preferred_Indicator,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Number_of_Pfd_Classes,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Issue_Age,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Attained_Age,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Duration,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
Observation_Year,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
SOA_Guar_Lvl_TP,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
SOA_Antp_Lvl_TP,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
SOA_Post_Lvl_Ind,,,,,,,,"""Columns not found: 'Amount_Exposed', 'Death_Claim_Amount', 'Policies_Exposed', 'ExpDth_VBT2015_Amt'"""
